Trade Year,Options Class,Underlying,Product Type,Exchange,Volume
2020,AIV,AIV,S,CBOE,7161
2020,AIV1,AIV,S,CBOE,155
2020,AIV2,AIV,S,CBOE,1
2020,AIV3,AIV,S,CBOE,87
2020,AIZ,AIZ,S,CBOE,2826
2020,2AJG,AJG,S,CBOE,920
2020,AJG,AJG,S,CBOE,4449
2020,AJRD,AJRD,S,CBOE,20888
2020,AJX,AJX,S,CBOE,36
2020,2AKAM,AKAM,S,CBOE,3
2020,AKAM,AKAM,S,CBOE,111514
2020,AKAOQ,AKAOQ,S,CBOE,66
2020,1AKBA,AKBA,S,CBOE,30000
2020,AKBA,AKBA,S,CBOE,51416
2020,AKBA1,AKBA,S,CBOE,50
2020,AKCA,AKCA,S,CBOE,2562
2020,AKG,AKG,S,CBOE,469
2020,AKRO,AKRO,S,CBOE,457
2020,AKRX,AKRX,S,CBOE,6807
2020,AKRXQ,AKRXQ,S,CBOE,410
2020,AKS,AKS,S,CBOE,16959
2020,AL,AL,S,CBOE,17834
2020,2ALB,ALB,S,CBOE,28
2020,ALB,ALB,S,CBOE,93945
2020,ALBO,ALBO,S,CBOE,20416
2020,ALC,ALC,S,CBOE,14348
2020,ALDX,ALDX,S,CBOE,5891
2020,ALEC,ALEC,S,CBOE,4728
2020,ALEX,ALEX,S,CBOE,1588
2020,ALFA,ALFA,S,CBOE,92
2020,2ALGN,ALGN,S,CBOE,150
2020,ALGN,ALGN,S,CBOE,104730
2020,ALGT,ALGT,S,CBOE,9228
2020,ALIM1,ALIM,S,CBOE,2
2020,1ALK,ALK,S,CBOE,1000
2020,2ALK,ALK,S,CBOE,3
2020,ALK,ALK,S,CBOE,130491
2020,ALKS,ALKS,S,CBOE,19858
2020,2ALL,ALL,S,CBOE,3503
2020,ALL,ALL,S,CBOE,37102
2020,ALLE,ALLE,S,CBOE,2485
2020,ALLO,ALLO,S,CBOE,17112
2020,ALLT,ALLT,S,CBOE,4376
2020,ALLY,ALLY,S,CBOE,257299
2020,2ALNY,ALNY,S,CBOE,110
2020,ALNY,ALNY,S,CBOE,35594
2020,ALRM,ALRM,S,CBOE,15896
2020,1ALSK,ALSK,S,CBOE,10000
2020,ALSK,ALSK,S,CBOE,2113
2020,ALSN,ALSN,S,CBOE,2103
2020,ALT,ALT,S,CBOE,85937
2020,ALTG,ALTG,S,CBOE,140
2020,ALV,ALV,S,CBOE,1164
2020,2ALXN,ALXN,S,CBOE,9
2020,ALXN,ALXN,S,CBOE,138568
2020,AM,AM,S,CBOE,66635
2020,AMAG,AMAG,S,CBOE,7592
2020,AMAT,AMAT,S,CBOE,839795
2020,AMBA,AMBA,S,CBOE,177997
2020,AMBC,AMBC,S,CBOE,7570
2020,AMC,AMC,S,CBOE,1125979
2020,AMCR,AMCR,S,CBOE,19127
2020,AMCX,AMCX,S,CBOE,30741
2020,1AMD,AMD,S,CBOE,500
2020,2AMD,AMD,S,CBOE,80000
2020,AMD,AMD,S,CBOE,14293078
2020,1AME,AME,S,CBOE,200
2020,2AME,AME,S,CBOE,3
2020,AME,AME,S,CBOE,8825
2020,2AMED,AMED,S,CBOE,277
2020,AMED,AMED,S,CBOE,4410
2020,2AMG,AMG,S,CBOE,1
2020,AMG,AMG,S,CBOE,2550
2020,2AMGN,AMGN,S,CBOE,533
2020,AMGN,AMGN,S,CBOE,317643
2020,2AMH,AMH,S,CBOE,119
2020,AMH,AMH,S,CBOE,5933
2020,AMJ,AMJ,S,CBOE,20873
2020,AMKR,AMKR,S,CBOE,33131
2020,AMLP,AMLP,S,CBOE,188219
2020,AMLP1,AMLP,S,CBOE,6263
2020,AMN,AMN,S,CBOE,11142
2020,AMOT,AMOT,S,CBOE,1552
2020,AMP,AMP,S,CBOE,12640
2020,1AMPE,AMPE,S,CBOE,1000
2020,AMPE,AMPE,S,CBOE,59239
2020,AMPY,AMPY,S,CBOE,10050
2020,AMRC,AMRC,S,CBOE,13124
2020,AMRN,AMRN,S,CBOE,941364
2020,AMRS,AMRS,S,CBOE,80046
2020,AMRX,AMRX,S,CBOE,14725
2020,AMSC,AMSC,S,CBOE,14932
2020,2AMT,AMT,S,CBOE,107
2020,AMT,AMT,S,CBOE,128525
2020,AMTD,AMTD,S,CBOE,34542
2020,2AMWD,AMWD,S,CBOE,3
2020,AMWD,AMWD,S,CBOE,3562
2020,2AMWL,AMWL,S,CBOE,570
2020,AMWL,AMWL,S,CBOE,62441
2020,2AMX,AMX,S,CBOE,16129
2020,AMX,AMX,S,CBOE,23496
2020,1AMZN,AMZN,S,CBOE,2872
2020,2AMZN,AMZN,S,CBOE,6399
2020,AMZN,AMZN,S,CBOE,9904068
2020,AN,AN,S,CBOE,28432
2020,ANAB,ANAB,S,CBOE,3732
2020,ANDE,ANDE,S,CBOE,1454
2020,ANET,ANET,S,CBOE,106278
2020,ANF,ANF,S,CBOE,84525
2020,1ANGI,ANGI,S,CBOE,5000
2020,ANGI,ANGI,S,CBOE,70930
2020,ANGL,ANGL,S,CBOE,1983
2020,ANIK,ANIK,S,CBOE,1195
2020,ANIP,ANIP,S,CBOE,1072
2020,ANSS,ANSS,S,CBOE,8053
2020,ANTE,ANTE,S,CBOE,13017
2020,2ANTM,ANTM,S,CBOE,2750
2020,ANTM,ANTM,S,CBOE,131321
2020,1AOBC,AOBC,S,CBOE,16000
2020,AOBC,AOBC,S,CBOE,25841
2020,2AON,AON,S,CBOE,120
2020,AON,AON,S,CBOE,21939
2020,2AOS,AOS,S,CBOE,171
2020,AOS,AOS,S,CBOE,7883
2020,AP,AP,S,CBOE,2632
2020,APA,APA,S,CBOE,601962
2020,APAM,APAM,S,CBOE,2500
2020,2APD,APD,S,CBOE,1
2020,APD,APD,S,CBOE,22424
2020,APEI,APEI,S,CBOE,288
2020,APEX,APEX,S,CBOE,2388
2020,APEX1,APEX,S,CBOE,48
2020,APG,APG,S,CBOE,1543
2020,APH,APH,S,CBOE,14612
2020,APHA,APHA,S,CBOE,461929
2020,APLE,APLE,S,CBOE,3629
2020,APLS,APLS,S,CBOE,5591
2020,APO,APO,S,CBOE,83125
2020,APOG,APOG,S,CBOE,4591
