,ticker,year,jan_close,feb_close,mar_close,apr_close,may_close,jun_close,jul_close,aug_close,sep_close,oct_close,nov_close,dec_close,percentage_change,direction,eps,p/e,sector,country,state,market_cap/gdp,volume,jan_confidence,feb_confidence,mar_confidence,apr_confidence,may_confidence,jun_confidence,jul_confidence,aug_confidence,sep_confidence,oct_confidence,nov_confidence,dec_confidence,jan_sentiment,feb_sentiment,mar_sentiment,apr_sentiment,may_sentiment,jun_sentiment,jul_sentiment,aug_sentiment,sep_sentiment,oct_sentiment,nov_sentiment,dec_sentiment,avg_sentiment,avg_confidence,yearly_percent_change_sentiment,sentiment_score,eps_n-1,p/e_n-1,market_cap/gdp_n-1,volume_n-1,sentiment_score_n-1,yearly_percent_change_sentiment_n-1,start_price,end_price,price_change,cpi,unemployment_rate,cpi_n-1,unemployment_rate_n-1
0,A,2014,38.77827453613281,37.96468734741211,37.29114532470703,36.12470626831055,38.06330108642578,38.48543167114258,37.58091354370117,38.29782485961914,38.26603698730469,37.12437438964844,40.13903427124024,38.448577880859375,-6.842925064522209,-1,3.05,12.474434649358031,Healthcare,United States,CA,1.2934131331549863,150011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999493837356567,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5416666666666666,0.058329115311304726,0.0,0.5024303798046377,,,,,,,38.77827453613281,36.12470626831055,-2.6535682678222656,236.73616666666666,6.158333333333334,,
1,AAPL,2014,15.900001525878904,16.814430236816403,17.14992904663086,18.854562759399414,20.338592529296875,20.90119743347168,21.501710891723636,23.16828918457031,22.77272987365723,24.411460876464844,26.99855613708496,25.057605743408203,18.58214433949363,1,6.43,3.2901641555003023,Technology,United States,CA,1.2934131331549863,44991907,0.8991550079413823,0.9188223077970392,0.8873716473579407,0.9337251026715552,0.8949927797442988,0.9152725027955096,0.9141171298165252,0.8940545465495136,0.904289071049009,0.9167869050128788,0.9082032297108624,0.9261564808733324,0.4523809523809524,0.29411764705882354,0.36,0.3392857142857143,0.42105263157894735,0.39130434782608703,0.3623188405797101,0.2972972972972973,0.36607142857142855,0.4019607843137255,0.5,0.4,0.3821491369910572,0.9094122259433207,0.0,0.39282498434169594,,,,,,,15.900001525878904,18.854562759399414,2.9545612335205096,236.73616666666666,6.158333333333334,,
2,ABC,2014,59.10526657104492,59.86689376831055,57.87281036376953,57.51104736328125,64.79605865478516,64.33560180664061,68.09873199462889,68.73587799072266,68.65594482421875,75.85901641845703,81.13357543945312,80.34052276611328,-2.6972540693093903,-1,3.9700000000000006,16.925091267032446,Healthcare,United States,PA,1.2934131331549863,34492,0.0,0.0,0.0,0.0,0.9991789460182191,0.8416971564292908,0.0,0.0,0.0,0.9856259226799012,0.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5416666666666666,0.23554183542728424,0.0,0.5098142431428035,,,,,,,59.10526657104492,57.51104736328125,-1.5942192077636719,236.73616666666666,6.158333333333334,,
3,ABT,2014,31.52370262145996,34.20656967163086,33.114501953125,33.510143280029304,34.608688354492195,35.3785400390625,36.629249572753906,36.73359680175781,36.16834259033203,38.1090202331543,38.91332626342773,39.35919952392578,6.301419228644334,1,2.15,16.599026391672535,Healthcare,United States,IL,1.2934131331549863,307236,0.0,0.0,0.0,0.964862585067749,0.0,0.0,0.9391267895698548,0.9417984187602996,0.0,0.9882508218288422,0.0,0.9621459245681764,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,1.0,0.5,0.0,0.5625,0.39968204498291016,0.0,0.5249801278114319,,,,,,,31.52370262145996,33.510143280029304,1.986440658569343,236.73616666666666,6.158333333333334,,
4,ACN,2014,68.32015228271484,71.28799438476562,68.18331909179689,69.43578338623047,70.50041961669922,69.97243499755861,68.62215423583984,70.16283416748047,70.38790130615234,71.1678237915039,75.73860168457031,78.35301208496094,1.632945867712713,1,4.66,15.238419725147951,Technology,Ireland,,1.2934131331549863,156447,0.0,0.0,0.0,0.0,0.0,0.9215679168701172,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5416666666666666,0.0767973264058431,0.0,0.5031998886002435,,,,,,,68.32015228271484,69.43578338623047,1.115631103515625,236.73616666666666,6.158333333333334,,
5,ADI,2014,40.21926879882813,42.654640197753906,44.60188674926758,43.049129486083984,44.2729606628418,45.70137405395508,41.94858169555664,43.207969665527344,42.13825225830078,42.24894714355469,46.523216247558594,47.5914421081543,7.0360818875412106,1,2.3999999999999995,18.199919064839683,Technology,United States,MA,1.2934131331549863,53682,0.0,0.0,0.0,0.0,0.0,0.0,0.9974349141120912,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5416666666666666,0.0831195761760076,0.0,0.5034633156740003,,,,,,,40.21926879882813,43.049129486083984,2.8298606872558523,236.73616666666666,6.158333333333334,,
6,ADM,2014,31.42239189147949,32.50510787963867,34.73883056640625,35.011043548583984,36.17414855957031,35.506038665771484,37.349369049072266,40.32886505126953,41.331825256347656,38.01557922363281,42.80740737915039,42.254844665527344,11.420682644078386,1,3.17,11.762498731242118,Consumer Defensive,United States,IL,1.2934131331549863,279608,0.0,0.0,0.0,0.0,0.0,0.9095503091812134,0.8966666460037231,0.0,0.94474595785141,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5416666666666666,0.22924690941969553,0.0,0.5095519545591539,,,,,,,31.42239189147949,35.011043548583984,3.5886516571044957,236.73616666666666,6.158333333333334,,
7,ADSK,2014,51.25,52.47999954223633,49.18000030517578,48.02000045776367,52.36999893188477,56.38000106811523,53.349998474121094,53.63999938964844,55.099998474121094,57.540000915527344,62.0,60.06000137329102,-6.302438131192835,-1,1.3199999999999998,41.121843366911925,Technology,United States,CA,1.2934131331549863,210965,0.0,0.0,0.0,0.0,0.9142290651798248,0.899558424949646,0.8481469154357909,0.5404440760612488,0.9942075908184052,0.0,0.6136706471443176,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.625,0.4008547266324361,0.0,0.5501068408290545,,,,,,,51.25,48.02000045776367,-3.229999542236328,236.73616666666666,6.158333333333334,,
8,AFL,2014,25.88818168640137,26.581846237182614,26.150426864624023,26.01768493652344,25.55343246459961,25.979114532470703,24.93160629272461,25.71592712402344,24.460363388061523,25.081846237182614,25.24786758422852,25.82274055480957,0.5002408113896087,1,3.89,6.585926261843016,Financial Services,United States,GA,1.2934131331549863,122640,0.0,0.0,0.0,0.6409243941307068,0.0,0.0,0.0,0.7865471839904785,0.5342345237731934,0.9956513047218324,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.5,0.5833333333333334,0.24644645055135092,0.0,0.5205372042126126,,,,,,,25.88818168640137,26.01768493652344,0.1295032501220703,236.73616666666666,6.158333333333334,,
9,AIG,2014,40.1390266418457,41.65386199951172,41.95704650878906,44.57463455200195,45.36327362060547,45.89555358886719,43.70923614501953,47.14006042480469,45.52753067016602,45.14827728271485,46.18490219116211,47.313331604003906,11.050611540071687,1,4.82,9.24285503508804,Financial Services,United States,NY,1.2934131331549863,1395563,0.0,0.0,0.0,0.0,0.9955105781555176,0.9946568012237548,0.9917883574962616,0.8920631806055704,0.9479761719703674,0.9256013887269156,0.9829698801040648,0.8841945827007294,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.6666666666666666,0.5,0.5714285714285714,0.0,1.0,0.4781746031746031,0.6345634117485984,0.0,0.4861504017277091,,,,,,,40.1390266418457,44.57463455200195,4.43560791015625,236.73616666666666,6.158333333333334,,
