,ticker,year,jan_close,feb_close,mar_close,apr_close,may_close,jun_close,jul_close,aug_close,sep_close,oct_close,nov_close,dec_close,percentage_change,direction
0,A,2014,38.77827453613281,37.96468734741211,37.29114532470703,36.12470626831055,38.06330108642578,38.48543167114258,37.58091354370117,38.29782485961914,38.26603698730469,37.12437438964844,40.139034271240234,38.448577880859375,-6.842925064522209,-1
1,A,2015,35.55834197998047,39.73835372924805,39.21334457397461,39.04347229003906,38.87358856201172,36.50151443481445,38.743831634521484,34.35380554199219,32.574764251708984,35.82939529418945,39.681819915771484,39.780799865722656,9.80116089783022,1
2,A,2016,35.82271957397461,35.537269592285156,37.91592788696289,39.04668045043945,43.789161682128906,42.44072723388672,46.02848815917969,44.9473762512207,45.16452407836914,41.788455963134766,42.18170166015625,43.823612213134766,8.999765832427386,1
3,A,2017,47.10365676879883,49.34485626220703,50.981239318847656,53.083343505859375,58.184364318847656,57.31853485107422,57.78242111206055,62.546875,62.04434585571289,65.88121032714844,67.052978515625,64.99827575683594,12.69473995705033,1
4,A,2018,71.26805114746094,66.57056427001953,64.9303207397461,63.946895599365234,60.23109436035156,60.15327072143555,64.39387512207031,65.85649871826172,68.78170776367188,63.30875778198242,70.69590759277344,66.08072662353516,-10.27270344876904,-1
5,A,2019,74.49510192871094,77.8157958984375,78.736572265625,77.05223083496094,65.81338500976562,73.29285430908203,68.27983856201172,69.95214080810547,75.54446411132812,74.67691802978516,79.62581634521484,84.27909088134766,3.4326134739664873,1
6,A,2020,81.56232452392578,76.13866424560547,70.93458557128906,75.92636108398438,87.29649353027344,87.70808410644531,95.60846710205078,99.6678237915039,100.18392944335938,101.50801086425781,116.23358154296875,117.81451416015625,-6.910008355988103,-1
7,A,2021,119.6808853149414,121.57315826416016,126.62252044677734,133.29859924316406,137.77713012695312,147.43238830566406,153.0394287109375,175.2517852783203,157.33409118652344,157.49000549316406,153.4199981689453,,11.378353270355172,1
8,AAL,2014,31.62897491455078,34.81544876098633,34.50433349609375,33.06195068359375,37.86050033569336,40.50017166137695,36.718345642089844,36.74669647216797,33.53325653076172,39.17927169799805,45.98234939575195,50.814605712890625,4.530579232853146,1
9,AAL,2015,46.50347900390625,45.47736740112305,50.11054611206055,45.94163513183594,40.30952072143555,37.9976921081543,38.14991760253906,37.1708984375,37.02786636352539,44.074886322021484,39.429931640625,40.47158432006836,-1.2081759990970098,-1
10,AAL,2016,37.2606201171875,39.28837966918945,39.297950744628906,33.24180221557617,30.66625213623047,27.206571578979492,34.116329193115234,34.989559173583984,35.28837585449219,39.13432312011719,44.87651443481445,45.118099212646484,-10.785697846605446,-1
11,AAL,2017,42.76023864746094,44.898860931396484,40.9668083190918,41.27672576904297,46.98519515991211,48.83898162841797,48.95545196533203,43.511295318603516,46.185768127441406,45.5341682434082,49.21089172363281,50.711875915527344,-3.4693746465001505,-1
12,AAL,2018,52.94386672973633,52.977325439453125,50.74104690551758,41.922889709472656,42.61801528930664,37.15616226196289,38.70270919799805,39.7262077331543,40.56037902832031,34.42676544189453,39.52094650268555,31.59904670715332,-20.816343234850386,-1
13,AAL,2019,35.2008056640625,35.158626556396484,31.339824676513672,33.727806091308594,26.94729995727539,32.271446228027344,30.193246841430664,26.128435134887695,26.78388023376465,29.852556228637695,28.63418197631836,28.574403762817383,-4.184562100116172,-1
14,AAL,2020,26.741178512573242,19.049999237060547,12.1899995803833,12.010000228881836,10.5,13.069999694824219,11.119999885559082,13.050000190734863,12.289999961853027,11.279999732971191,14.130000114440918,15.770000457763672,-55.087992014880946,-1
15,AAL,2021,17.170000076293945,20.940000534057617,23.899999618530273,21.719999313354492,24.239999771118164,21.209999084472656,20.3799991607666,19.940000534057617,20.520000457763672,19.200000762939453,17.739999771118164,,26.499704233214196,1
16,AAP,2014,111.49932861328125,123.68745422363281,122.9107894897461,117.84861755371094,120.64690399169922,131.1549835205078,117.73031616210938,132.61306762695312,126.72001647949219,142.92233276367188,143.03903198242188,154.96209716796875,5.694463831662383,1
17,AAP,2015,154.68966674804688,150.72999572753906,145.69036865234375,139.17909240722656,149.12600708007812,155.09231567382812,169.61920166015625,170.6317596435547,184.59814453125,193.2664794921875,158.49545288085938,146.65228271484375,-10.026897508340616,-1
18,AAP,2016,148.15277099609375,144.6353302001953,156.2894287109375,152.1565704345703,149.95362854003906,157.6088104248047,165.634033203125,153.4645538330078,145.46987915039062,136.651123046875,165.56565856933594,165.0366973876953,2.7024802921722797,1
19,AAP,2017,160.27455139160156,152.82875061035156,144.73777770996094,138.76319885253906,130.45538330078125,113.87545776367188,109.40211486816406,95.6206283569336,96.95173645019531,79.88745880126953,98.7109375,97.4899673461914,-13.42156465408126,-1
20,AAP,2018,114.40817260742188,111.7286376953125,115.99415588378906,111.9825439453125,125.8470458984375,132.83169555664062,138.2447967529297,160.56285095214844,164.8302764892578,156.43846130371094,174.0152587890625,154.2455596923828,-2.1201533132013504,-1
21,AAP,2019,155.9500274658203,158.4773712158203,167.10983276367188,162.9842529296875,151.8912811279297,151.1074981689453,147.67636108398438,135.2360076904297,162.20925903320312,159.34556579589844,154.0497589111328,157.12998962402344,4.510563786472487,1
22,AAP,2020,129.2574920654297,130.4641876220703,91.81318664550781,118.95768737792969,137.0704345703125,140.39993286132812,147.979248046875,154.06044006347656,151.53587341308594,145.39544677734375,145.81008911132812,155.73590087890625,-7.968439216108475,-1
