,ticker,Year,jan_confidence,feb_confidence,mar_confidence,apr_confidence,may_confidence,jun_confidence,jul_confidence,aug_confidence,sep_confidence,oct_confidence,nov_confidence,dec_confidence,jan_sentiment,feb_sentiment,mar_sentiment,apr_sentiment,may_sentiment,jun_sentiment,jul_sentiment,aug_sentiment,sep_sentiment,oct_sentiment,nov_sentiment,dec_sentiment
0,a,2012,,,,,,,0.8120153903961181,0.9186278581619263,0.8926764215741839,0.8450367699066798,0.9673320427536964,0.8168950378894806,,,,,,,0.8,0.5,0.7142857142857143,0.4166666666666667,0.125,0.75
1,a,2013,0.9004944860935211,0.9234589189291,0.8415141361100333,0.9079307119051615,0.9768742918968201,0.9538844704627991,0.8570968985557557,,,,,,0.3,0.5,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.4,0.2,,,,,
2,a,2014,,,,,,,,0.6999493837356567,,,,,,,,,,,,1.0,,,,
3,a,2015,,,,,,,,,,,0.8855303525924683,0.9808834195137024,,,,,,,,,,,0.0,1.0
4,a,2016,,,,,0.8778343126177788,0.9785016179084778,0.9924553334712982,0.9353041052818298,0.9832599759101868,0.8661470711231232,0.9567990104357401,,,,,,0.8125,1.0,0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,
5,a,2017,,0.5133408308029175,,,0.9155321419239044,0.9654421508312225,0.8781739175319672,0.9620122313499451,0.9955876618623734,0.9002584218978882,0.9066975116729736,,,1.0,,,0.5,1.0,0.8333333333333334,0.7777777777777778,1.0,0.0,0.6666666666666666,
6,a,2018,0.9725761711597443,0.9796606699625651,0.9982908368110657,0.8974539190530777,0.9959870219230652,0.9988197684288025,,,,,0.9244286045432091,,1.0,0.6666666666666666,1.0,0.9375,0.4,1.0,,,,,0.875,
7,a,2019,0.8329722086588541,0.9611011789395258,0.8942550122737885,0.975047747294108,0.9125213551521302,0.6387413442134857,0.9990792274475098,0.9423535125596183,0.9875035484631857,0.97331902384758,0.9898081024487814,0.953847348690033,1.0,1.0,1.0,0.6666666666666666,0.36,0.5,1.0,0.8571428571428571,1.0,0.5,1.0,1.0
8,a,2020,0.9878942370414734,,,,,,,,,,,,1.0,,,,,,,,,,,
9,aapl,2012,,,,,,,0.8927791863679886,0.8903398595073007,0.9460603430353361,0.9250817171862868,0.9175235363277229,0.9490580540714841,,,,,,,0.4166666666666667,0.45454545454545453,0.3448275862068966,0.32786885245901637,0.3108108108108108,0.2878787878787879
10,aapl,2013,0.9215688392519951,0.8922355271154835,0.9236888034003121,0.9171379634312221,0.9372720550745726,0.9546520039439201,0.9236565232276917,0.9601620336373647,0.906907278138238,0.9057285025715828,0.9252252535122197,0.8874582494458845,0.3,0.45161290322580644,0.5142857142857142,0.3877551020408163,0.59375,0.3333333333333333,0.30952380952380953,0.2857142857142857,0.35135135135135137,0.325,0.3902439024390244,0.5161290322580645
11,aapl,2014,0.8991550079413823,0.9188223077970392,0.8873716473579407,0.9337251026715551,0.8949927797442988,0.9152725027955096,0.9141171298165253,0.8940545465495136,0.904289071049009,0.9167869050128787,0.9082032297108624,0.9261564808733324,0.4523809523809524,0.29411764705882354,0.36,0.3392857142857143,0.42105263157894735,0.391304347826087,0.36231884057971014,0.2972972972972973,0.36607142857142855,0.4019607843137255,0.5,0.4
12,aapl,2015,0.9075650169893548,0.8950904579116747,0.9191231242680954,0.9048440295916337,0.8976465873420238,0.9176021134853363,0.9127497842125859,0.906046987002623,0.9150107361652233,0.9133744139005157,0.9092018149232352,0.9102266958126655,0.42592592592592593,0.38461538461538464,0.4124293785310734,0.40384615384615385,0.4375,0.42,0.41134751773049644,0.36879432624113473,0.34074074074074073,0.3382352941176471,0.21505376344086022,0.38461538461538464
13,aapl,2016,0.920594216941239,0.9049513224969831,0.9014335314104379,0.9203531037058149,0.9089727937945068,0.8997220510373944,0.9197502248692062,0.927281718741181,0.9039482184698884,0.9148766675721044,0.9039372415515964,0.9143028870477514,0.33116883116883117,0.38596491228070173,0.30578512396694213,0.35428571428571426,0.3783783783783784,0.44565217391304346,0.4811320754716981,0.4032258064516129,0.43661971830985913,0.46956521739130436,0.4581005586592179,0.3983050847457627
14,aapl,2017,0.911658320279248,0.887232141396434,0.8943163328445874,0.91050857764024,0.921694057101899,0.9148609928885719,0.9126241369608868,0.9176428014072329,0.9162494947999229,0.9111562895774842,0.9066249076015724,0.9148082050304969,0.5132743362831859,0.4020618556701031,0.3942307692307692,0.6317016317016317,0.5159574468085106,0.5009487666034156,0.5704787234042553,0.5280289330922242,0.5361305361305362,0.51,0.501002004008016,0.5097087378640777
15,aapl,2018,0.9147743168804381,0.9145592115663584,0.9236408066749573,0.9094298797676421,0.9097223801900877,0.9213513200773912,0.9330757969901675,0.9126556723919498,0.925917059901249,0.916467623483567,0.9226991429816197,0.9193084653113325,0.4595959595959596,0.4497907949790795,0.44857142857142857,0.4496124031007752,0.5436241610738255,0.5029411764705882,0.3401360544217687,0.31004366812227074,0.3192771084337349,0.319047619047619,0.3777372262773723,0.4326710816777042
16,aapl,2019,0.9195713267972072,0.8965541498031023,0.9129133966785891,0.9202649313576368,0.9069388824821318,0.9178180353788146,0.9175505376134823,0.921880304813385,0.902021467494659,0.9052942179892052,0.9179435452531437,0.9188448291177287,0.4666666666666667,0.45595854922279794,0.4027777777777778,0.47346938775510206,0.436241610738255,0.530751708428246,0.5441176470588235,0.5152354570637119,0.4423076923076923,0.4880382775119617,0.5126903553299492,0.5427251732101617
17,aapl,2020,0.9120097777045992,,,,,,,,,,,,0.5303292894280762,,,,,,,,,,,
